model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
hubert-base-ls960,hubert-base-ls960,Suncun,,,,last_layer,0.4924446267432321,0.04631629794086692,0.4488215964288898,0.04148895268603574,0.5061647676144415,0.05291178773860176,0.5936254980079682,0.5486943288349312,179.62883553095162
hubert-base-ls960,hubert-base-ls960,Tongling,,,,last_layer,0.4595748160261652,0.05485764160068872,0.421892175742647,0.041273743797398975,0.4686453421306306,0.06464960884072557,0.5901509134233519,0.5103473197970582,179.53630795143545
hubert-base-ls960,hubert-base-ls960,Wuhu,,,,last_layer,0.4550372208436725,0.05681036503772257,0.42129310939231424,0.03994518521065004,0.4636997064541847,0.06273766789511619,0.5228915662650603,0.4958667771545492,181.94576896727085
hubert-base-ls960,hubert-base-ls960,Xuancheng,,,,last_layer,0.4884596375617793,0.05648284407970856,0.4498201120231057,0.046771506439061604,0.48097023348087425,0.06578828409754793,0.5888,0.5546267366244007,180.7724226396531
wav2vec2-base,wav2vec2-base,Chizhou,,,,last_layer,0.3810483573274271,0.04449241145489509,0.3433644212439416,0.03129197725214221,0.4041561034217383,0.05481379696724593,0.4594792812614595,0.4096524909831579,203.03084890544415
wav2vec2-base,wav2vec2-base,Dangtu,,,,last_layer,0.3016332179930796,0.034809141720101994,0.25806139951409934,0.024610880535647122,0.3097697010377105,0.04251543904773471,0.43301435406698563,0.3121977060118143,211.23278943821788
wav2vec2-base,wav2vec2-base,Fanchang,,,,last_layer,0.33609593199757143,0.040389720259867375,0.30592297794744605,0.030421162207057,0.34576793187151905,0.047483331913971125,0.46524064171123,0.4228177963384059,208.53516475483775
wav2vec2-base,wav2vec2-base,Gaochun,,,,last_layer,0.3111338141025641,0.03625178411629181,0.2681987437660424,0.02756509671771442,0.3086804237592014,0.04272968985783597,0.39928909952606634,0.2747468846561598,206.80824066884816
wav2vec2-base,wav2vec2-base,Huangshan,,,,last_layer,0.3153648344583735,0.03877548037534594,0.26424672186621856,0.02718014635232951,0.3299422648371786,0.043620256806349095,0.5,0.3539455457088701,216.34802416153252
wav2vec2-base,wav2vec2-base,Jingxian,,,,last_layer,0.278556295916624,0.0466611166156022,0.24087874781639101,0.03304727125778586,0.28416263235320893,0.05340871834764594,0.4094073696722703,0.3306735583725976,201.26615861058235
wav2vec2-base,wav2vec2-base,Lishui,,,,last_layer,0.3553628536285363,0.04711410648544936,0.31126794753068643,0.0328587672041493,0.35605595622761393,0.053360933204442455,0.4777376654632972,0.3973904130170139,206.77737570367754
wav2vec2-base,wav2vec2-base,Nanling,,,,last_layer,0.35356556467716876,0.04948326175814135,0.3186380854714763,0.035911146101672474,0.3704456709948862,0.060363928710580876,0.4651111600264143,0.4076862749511658,208.44538053125143
