model,resolved_model,target,protocol,k,splits,train_scheme,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,zero_shot_accuracy,zero_shot_macro_f1,time_sec
wav2vec2-base,wav2vec2-base,Gaochun,,,,last_layer,0.3111338141025641,0.03625178411629181,0.2681987437660424,0.02756509671771442,0.3086804237592014,0.04272968985783597,0.39928909952606634,0.2747468846561598,206.80824066884816
wav2vec2-base,wav2vec2-base,Huangshan,,,,last_layer,0.3153648344583735,0.03877548037534594,0.26424672186621856,0.02718014635232951,0.3299422648371786,0.043620256806349095,0.5,0.3539455457088701,216.34802416153252
wav2vec2-base,wav2vec2-base,Jingxian,,,,last_layer,0.278556295916624,0.0466611166156022,0.24087874781639101,0.03304727125778586,0.28416263235320893,0.05340871834764594,0.4094073696722703,0.3306735583725976,201.26615861058235
wav2vec2-base,wav2vec2-base,Lishui,,,,last_layer,0.3553628536285363,0.04711410648544936,0.31126794753068643,0.0328587672041493,0.35605595622761393,0.053360933204442455,0.4777376654632972,0.3973904130170139,206.77737570367754
wav2vec2-base,wav2vec2-base,Nanling,,,,last_layer,0.35356556467716876,0.04948326175814135,0.3186380854714763,0.035911146101672474,0.3704456709948862,0.060363928710580876,0.4651111600264143,0.4076862749511658,208.44538053125143
wav2vec2-base,wav2vec2-base,Ningguo,,,,last_layer,0.26984943538268513,0.025134787621700853,0.25714052635218604,0.021966091938887388,0.26789367573317313,0.033174342932588086,0.3385354141656663,0.32118904522843805,214.60288348421454
wav2vec2-base,wav2vec2-base,Qingyang,,,,last_layer,0.38109442060085835,0.035986846823683805,0.3408943509864152,0.02924415548067323,0.38339546951361436,0.04417120472090018,0.43437832093517537,0.39224518125066915,202.3406330626458
wav2vec2-base,wav2vec2-base,Suncun,,,,last_layer,0.2947087776866284,0.04124832355615892,0.2716434950200319,0.032948014318880156,0.31185510632610625,0.05353472582633338,0.450199203187251,0.36975607071019967,204.39592720009387
wav2vec2-base,wav2vec2-base,Tongling,,,,last_layer,0.3482583810302534,0.04089210567839097,0.3244463636757314,0.03026862249458293,0.35462235431549777,0.052622090921352,0.4694201747418586,0.38813701677223844,204.69062863849103
wav2vec2-base,wav2vec2-base,Wuhu,,,,last_layer,0.3032092638544251,0.050105503390134136,0.2612640119475327,0.035478054961586646,0.32436290866114836,0.05748262529551189,0.46184738955823296,0.39345819475372523,214.67809039913118
wav2vec2-base,wav2vec2-base,Xuancheng,,,,last_layer,0.34167215815485996,0.04329582559902181,0.31590229989868723,0.032945392840152084,0.33889444727429335,0.052356796827761606,0.4704,0.4266575469153542,199.86177409254014
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Dangtu,loro,4.0,100.0,last_layer,0.16176816608996536,0.042336929378310684,0.12218816557263944,0.020875901144316113,0.1562263409376367,0.04361602694023301,0.26555023923444976,0.07246855994686421,5655.1350052747875
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Fanchang,loro,4.0,100.0,last_layer,0.14660595021250755,0.03628806993431599,0.11190377705426392,0.019224290994633783,0.14119758793436474,0.03832534485856574,0.24361259655377301,0.07738331307703789,5657.578018190339
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Gaochun,loro,4.0,100.0,last_layer,0.17209535256410255,0.03133721694531658,0.13651760041601788,0.017707826218224938,0.16762559770054847,0.03623657981277992,0.1990521327014218,0.08907791357858452,213.27413204312325
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Huangshan,loro,4.0,100.0,last_layer,0.14194471231115396,0.03181523731040068,0.11099444267866017,0.015206313268751895,0.13320584280362666,0.0327690886335906,0.27181208053691275,0.08145410125704816,213.62708439305425
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Jingxian,loro,4.0,100.0,last_layer,0.16384589099607033,0.042467345919966974,0.12564992503020211,0.022408235592292963,0.1582891557082915,0.04610495161773526,0.36033282390898286,0.10491210204927028,213.9645170364529
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Lishui,loro,4.0,100.0,last_layer,0.15591635916359162,0.03599453907581027,0.12498402389827923,0.018444829910630046,0.15424928854317005,0.03538209947896336,0.2641395908543923,0.07398720416029109,213.52810308150947
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Nanling,loro,4.0,100.0,last_layer,0.16395384956733972,0.027830791127358777,0.1282478772976742,0.01698960635868946,0.1502839205973407,0.03176106270117443,0.28791547435615233,0.09278923205018978,216.4879085663706
wav2vec2-large-robust-hfcache,wav2vec2-large-robust-hfcache,Ningguo,loro,4.0,100.0,last_layer,0.16579673776662485,0.04681210902212426,0.12037688883111723,0.023211731175104063,0.15163867503815814,0.04782637512854965,0.33733493397358943,0.10391529538821141,215.8970699571073
